formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Microelectronique Et Automatique (MEA),1) L'aspect environnemental du metier d'ingenieur et l'impact que l'on peut avoir manque cruellement a la formation. Quoi qu'on puisse en dire nous ne sommes pas inities a ses aspects la dans notre formation et il ne s'agirait pas la de faire du Greenwashing evidemment... : Cela pourrait concerner l'eco-conception l'utilisation du low power dans les projets soft les bonnes pratiques a avoir en soft... Mais cela pourrait etre egalement l'ecologie a proprement parler a travers de conferences par exemple. La conference de Jancovici par exemple. Une initiation aux low-techs par exemple semble interessante : enseigner que l'electronique n'est pas a mettre partout et n'importe comment (cela reste encore une fois un avis tres personnel)  2) IA Deeplearning et Machine learning : rien a ajouter je ne connais pas mais en enseignement de 5A cela peut etre interessant   3) Un cours dedie a l'alimentation des circuits ! Je ne m'y connais pas tres bien mais je pense qu'il devrait avoir matiere a faire.   4) Un cours dedie a la conception de PCB : Au niveau materiel notamment (plus que logiciel) ou du moins une initiation un peu plus poussee que le TP de 4h ne serait-ce que pour notre culture personnelle d'ingenieur en electronique    5) Des enseignements pourraient etre fait a d'autres moments de la formation :  - Graphe et applications : je trouvais cela trop theorique pour une derniere annee d'etude  - Vivado pourrait etre commence en 3A (bien que cela puisse poser probleme au niveau des cartes. L'aspect etude du logiciel sans carte pourrait peut-etre etre fait ?  - Les RdP sont tres interessant a etudier car ils initient a la machine a etat. Il serait interessant de faire le lien avec d'autres techniques comme le grafcet notamment qui est tres utilise dans l'industrie de l'automatisme (bien qu'en realite l'automatisme n'etant par au programme de notre formation) - Le RETEX que j'ai eu de l'OSTR est par contre tres mauvais. Je n'ai absolument rien appris rien ne donnait envie d'apprendre. Et c'est tres utilise dans l'industrie c'est dommage! Bien que je crois que cet aspect de la formation a change depuis.  
Materiaux (MAT),Il faudrait nous faire faire plus de rapports en anglais et plus de cours en anglais 
Materiaux (MAT),Gestion de production malgre l'option l'implementer dans le parcours initial serait une bonne idee. L'absence de ces cours sont tres devalorisables en cas d'entretien en ingenieur prod.  Genie industriel en l'appliquant dans les cours de materiaux Excel avance et pack office Culture scientifique des materiaux et enjeux industriels de demain 
Materiaux (MAT),Plus de cours sur l'environnement (anthropologie bilan carbone fresque du climat...) je suis disponible pour en discuter. Formons des ingenieurs conscients de leurs impacts 
Materiaux (MAT),Conception (pour l'option mecanique) en complement de la simulation numerique. Etude de la corrosion.
Materiaux (MAT),Cours sur de l'immersion en entreprise utilisation d'erp ou d'outils plus axee entreprise que recherche. Analyse de bdd du genre sql en cas concret et ne pas juste effleurer le sujet
Materiaux (MAT),Techniques de depots (et eventuellement caracterisations) des couches minces.
Materiaux (MAT),Dessin sur des logiciels type solydworks 
Materiaux (MAT),Biomedical/biomateriaux
Sciences et Technologies de l'Eau (STE), Phase travaux des reseaux
Mecanique Structures Industrielles (MSI - apprentissage),Plus de travaux pratiques pour comprendre la main d'&oeliguvre que l'on supervise et des cours de conception mecanique et conception assistee par ordinateur.
Sciences et Technologies de l'Eau (STE),Genie civil Genie vegetal  Hydroelectricite 
Materiaux (MAT),Des connaissances sur l'ecosysteme industriel present autour de nous et son fonctionnement (relations entreprises/institut de recherche partenariats....)
Sciences et Technologies de l'Eau (STE),Comptabilite generale
Materiaux (MAT),Lecture de plan Modelisation 3D
Sciences et Technologies de l'Eau (STE),Mecanique
Materiaux (MAT),J'aimerais bien etre mieux prepare pour une situation de pression et difficulte.
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),Plus de methode de gestion reunion de projet et resolution de probleme 
Genie Biologique et Agroalimentaires (GBA),Marketing de l'innovation
Genie Biologique et Agroalimentaires (GBA),Une option plus specialisee dans le domaine de la cosmetique 
Materiaux (MAT),Les cours de methodologie agile et de gestion de produits ainsi que les cours plus orientes vers les affaires et business voit que nombreux d'ingenieurs se dirigent vers des postes de cadres et des fonctions strategiques. 
Materiaux (MAT),Plus de gestion de projet
Materiaux (MAT),Explication des entreprises : bulletin de paie notamment
Sciences et Technologies de l'Eau (STE),Apprendre a faire des plans (dessin sous autocad...)
Genie Biologique et Agroalimentaires (GBA),Business plan 
Materiaux (MAT),Generalement les ingenieurs pendant leurs emplois sont amenes a faire du control de gestion. C'est l'enseignement qui me serait utile aujourd'hui dans mon travail.  Aussi quelques cours d'excel serait un atout pour les etudiants.
Materiaux (MAT),Fonctionnement d'une entreprise industrielle metiers pouvant etre faits en dehors du spectre de la recherche.  Intervention d'industriels via conferences. Formation a la notion de production de methodes de gestion de projet
Materiaux (MAT),Management/commerce/production ( juste les notions deja)
Materiaux (MAT),Les enseignements sont bien faits et complementaires cependant il faut a mon sens reduire les enseignements theoriques (thermodynamique RDM cristallographie et physique des interfaces) au profil de cours davantage tournes vers l'insertion professionnelle.  ET METTRE EN AVANT LES CONTRATS DE PROFESSIONNALISATION ! 
Materiaux (MAT),Fabrication de verres et ceramiques.
Genie Biologique et Agroalimentaires (GBA),Je ne sais pas 
Mecanique Structures Industrielles (MSI - apprentissage),Nsp
Mecanique Structures Industrielles (MSI - apprentissage),Management  gestion 
Mecanique Structures Industrielles (MSI - apprentissage),Savoir s'exprimer se comporter face a responsable/patron/interlocuteur ... 
Mecanique Structures Industrielles (MSI - apprentissage),- cours approfondi sur l'eurocode 3.  -application de l'eurocode sur des exemple de calcul de charpente metallique sur un logiciel  connu  et utilise couramment dans les entreprises francaise.
Materiaux (MAT),commerce
Mecanique Structures Industrielles (MSI - apprentissage),Notions de management  
Genie Biologique et Agroalimentaires (GBA),- Enseignements sur le management d'equipe  - Interventions sur le monde de l'entreprenariat.
Genie Biologique et Agroalimentaires (GBA),X
Genie Biologique et Agroalimentaires (GBA),Formation commerciale
Genie Biologique et Agroalimentaires (GBA),impots  fonctionnement d'une entreprise (TPE PME et grandes entreprises)
Eau et Genie Civil (EGC - apprentissage),Entreprenariat (savoir comment monter sa propre entreprise de A a Z) Transition ecologique et dereglement climatique au coeur du genie civil de demain.
Eau et Genie Civil (EGC - apprentissage),Gestion financiere/apprendre a faire les comptes...
Eau et Genie Civil (EGC - apprentissage),Modelisation hydraulique 1d 2d et 3d
Eau et Genie Civil (EGC - apprentissage),La gestion economique 
Systemes Embarques (SE - apprentissage),Cours de management humain
Eau et Genie Civil (EGC - apprentissage),SIG 
Eau et Genie Civil (EGC - apprentissage),Aspect RH (utile pour le management et l'encadrement d'equipe)
Microelectronique Et Automatique (MEA),Des enseignements sur l'IT et l'OT
Eau et Genie Civil (EGC - apprentissage),/
Eau et Genie Civil (EGC - apprentissage),Gestion financiere budget. 
Microelectronique Et Automatique (MEA),Un module de quelques heures sur le bon sens de developpement d'un projet (son rapport d'impact avance technologique/utilite/ecologie)
Mecanique Structures Industrielles (MSI - apprentissage),Je n'ai pas de matiere qui me viennent a l'esprit 
Mecanique Structures Industrielles (MSI - apprentissage),Creation d'entreprise et fiscalite  Histoire de l'industrie 
Eau et Genie Civil (EGC - apprentissage),L'apprentissage d'un ou deux logiciels relatifs a notre formation (QGIS Autocad..) et d'un langage de programmation notamment Python qui est beaucoup utilise dans le monde professionnel dans beaucoup de corps de metiers.
Microelectronique Et Automatique (MEA),rien a declarer 
Materiaux (MAT),Mesure et instrumentation (capteurs LVDT thermocouples pyrometres etc.)  Acquisition et traitement de donnees analogique notamment les problematiques de synchronisation de donnees et de recopies  Petite initiation a l'usinage (fraisage)  Correlation d'images dans l'ideal lors de TP (mais necessite l'acquisition d'une ou deux cameras...)
Microelectronique Et Automatique (MEA),Un enseignement theorique et pratique sur l'utilisation de plateforme de developpement logiciel tels que GitHub TortoiseGit  Une enseignement sur les fonctionnalites d'Excel et de la programmation en VBA
Sciences et Technologies de l'Eau (STE),Un peu plus de l'hydraulique des ouvrages m'aurait servi
Sciences et Technologies de l'Eau (STE),Genie civil Maitrise d'oeuvre
Informatique et Gestion (IG),Controle de gestion et/ou Etude de la strategie d'entreprise
Sciences et Technologies de l'Eau (STE),Plus de cours de genie geotechnique c'est que qui manque. Et former a HEC-RAS il faut vraiment qu'on ait plus de competences sur ce logiciel. Apprendre aussi les bases de la maitrise d'&oeliguvre.
Informatique et Gestion (IG),Devops
Informatique et Gestion (IG),Cloud Amazon...
Informatique et Gestion (IG),Evolution de la carriere 
Informatique et Gestion (IG),Devops docker  kubernetes infrastructure informatique management 
Sciences et Technologies de l'Eau (STE),Des enseignements concret sur la realisation de projets de notre secteur. Par exemple la creation de cahier des charges techniques pieces reglementaires
Eau et Genie Civil (EGC - apprentissage),Comptabilite Management Marches publics (appels d'offre procedures administratives pour sortir un projet...) Procedures administratives travaux (Ordre de service DC4...)
Informatique et Gestion (IG),Tout ce qui est lie au WEB3. DevOps. En soit c'est un metier a part mais ca serait utile pour la comprehension de la gestion d'un projet informatique. Les sprints la planification le developpement le test le deploiement etc..  Globalement je trouve que ce qui m'a enormement servit sont les petits projets sur lesquels je travaillais en plus. Je pense que ca serait genial pour les eleves de definir un projet en debut de troisieme annee. Comme s'ils devaient monter leur propre start up.  Par example un projet ayant comme scope:  - Au moins un site web et une application mobile - Un serveur commun (separe du site web) qui store les donnees.  - Au moins une API du serveur qui utilise un model AI fait par l'etudiant. - Un objet connecte qui utilise au moins deux types de capteurs. - Pipeline d'integration continue. - Test coverage.  Evidemment les eleves n'ont pas les connaissances pour realiser tout ca au depart. Mais les enseignements leur mettrons le pied a l'etrier et ils se motiveront d'eux meme a chercher les reponses a leurs solutions. Ce qui je pense au final leur pemettra de reduire un peu l'ecart entre ce qu'on attend de nous pour etre diplome et ce qu'on attends de nous dans le monde professionel.  
Materiaux (MAT),Pas plus d'idees
Informatique et Gestion (IG),Un enseignement plus pratique avec des mises en situation de problematique techniques et des methodologies de recherches et de conception d'une solution adaptee.
Microelectronique Et Automatique (MEA),Linux (et pas juste l'utiliser comprendre comment c'est construit)
Materiaux (MAT),Des cours d'electricite et d'electronique 
Informatique et Gestion (IG),soft skil
Informatique et Gestion (IG),D'avantage de cours sur la partie deploiement et securisation des applications
Mecanique Structures Industrielles (MSI - apprentissage),N/a
Mecanique Structures Industrielles (MSI - apprentissage),Atelier 
Materiaux (MAT),La gestion de production et la programmation dans des langages autres que de la recherche theorique (Java Python SAP etc..)
Microelectronique Et Automatique (MEA),GIT Linux embarque
Microelectronique Et Automatique (MEA),Rse
Microelectronique Et Automatique (MEA),Developpement durable 
