formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Informatique et Gestion (IG),2019,L'insertion professionnelle dans l'informatique est tres facile. N'importe qui trouve du travail. Sortir du lot travailler dur sont des points qui m'ont permis de ne jamais avoir de difficulte a rentrer dans les boites que j'avais envie de rejoindre. 
Eau et Genie Civil (EGC - apprentissage),2019,J'ai fait mon insertion par mon propre reseau. Mais il est important de permettre a ceux qui n'ont pas de connaissances de rentrer en contact avec des professionnels. Les travaux publics recrutent enormement.
Microelectronique Et Automatique (MEA),2020,/
Microelectronique Et Automatique (MEA),2020,Je n'ai pas recu d'accompagnement a l'insertion professionnelle de la part de Polytech Montpellier de la formation MEA ou de la part des professeurs. Je suis assez decu que les enseignants dont la discipline se rapproche de la voie que j'ai choisie ne proposent pas d'offre ou de contacts en entreprise.
Microelectronique Et Automatique (MEA),2020,Tres complique a cause de la crise sanitaire. il y avait tres peu d'offres. J'ai mis 8 mois pour trouver.
Microelectronique Et Automatique (MEA),2020,Pas assez d'info sur le domaine de la recherche c'est bien dommage!
Systemes Embarques (SE - apprentissage),2019,Avant covid 
Mecanique et Interactions (MI),2020,Contrat pro tres interessant 
Mecanique et Interactions (MI),2019,Ras
Mecanique Structures Industrielles (MSI - apprentissage),2019,Ne pas se precipiter sur le premier emploi qu'on peut trouver prendre le temps d'etudier plusieurs propositions pour faire un choix reflechi et satisfaisant
Mecanique et Interactions (MI),2020,J'ai trouve qu'on manquait enormement de preparation et d'accompagnement au niveau de l'ecole. 
Mecanique et Interactions (MI),2020,l'aide des professeurs/ancien eleves a ete tres utile
Mecanique et Interactions (MI),2020,Face a la situation sanitaire et au petit nombre d'offres d'emploi dans le medical j'ai du prolonger les etudes me permettant de renouveler mon alternance. L'entreprise qui a rachete la societe de mon alternance a alors voulu m''acheter' avec. Meilleur choix que j'aurai pu faire! 
Mecanique Structures Industrielles (MSI - apprentissage),2020,J'ai eu la chance d'etre prit dans un VIE d'un an pendant la periode de pandemie et d'avoir une proposition pour continuer le projet en freelance
Mecanique Structures Industrielles (MSI - apprentissage),2020,R.A.S
Eau et Genie Civil (EGC - apprentissage),2019,L'insertion professionnelle est l'experience la plus difficile rencontree jusqu'a aujourd'hui
Systemes Embarques (SE - apprentissage),2020,la formation en alternance casse un peu la barriere professeurs/eleves. Cela permet de discuter plus facilement avec eux et d'enrichir plus facilement son reseau professionnel. Je dois mon poste actuel a un de mes anciens professeur qui est devenu mon responsable et qui nous a fait parvenir l'offre par mail. Je vois d'ailleurs toujours passer ce genre de mail issu du reseau des anciens et relayes par les professeurs et c'est une bonne chose je trouve. Je tiens a remercier les professeurs qui etaient present et nous ont supporte pendant toute la duree de la formation. Je garde un tres bon souvenir de ces 3 annees. Merci
Systemes Embarques (SE - apprentissage),2020,Tres simple Je me suis juste inscrite sur differents site et pendant une semaine j'ai recu plusieurs appels par jour
Sciences et Technologies de l'Eau (STE),2019,Au final passee la premiere annee on apprend sur le tas et la formation sert surtout de support methodologique 
Microelectronique Et Automatique (MEA),2019,insertion professionnelle decoulant d'un stage de fin d'etude dans la meme entreprise tres rapide et simple. Notre formation est une bonne formation pour commencer. Que cela continue !
Sciences et Technologies de l'Eau (STE),2019,J'ai pris volontairement mon temps avant de me mettre a la recherche d'un emploi en sortie d'ecole. 
Sciences et Technologies de l'Eau (STE),2020,L'insertion professionnel par l'ecole comporte encore beaucoup trop de lacune (difficulte d'etre operationnel sur un panel important de metier) l'insertion professionnel par le reseau d'ancien est bien plus porteur et permet aux eleves de saisir les possibilites de leurs diplomes.
Sciences et Technologies de l'Eau (STE),2019,Pas concernee encore actuellement. 
Microelectronique Et Automatique (MEA),2019,Grace a ce diplome je suis libre de faire se que je veux  Merci Polytech Montpellier 
Materiaux (MAT),2019,Toutes les matieres et les projets ont servis a me former et etre un ingenieur competent aujourd'hui. Je suis tres satisfait de ma formation tres complete qui permet de s'adapter aux situations et savoir travailler en equipe
Genie Biologique et Agroalimentaires (GBA),2019,Je pense qu'en sortie d'ecole on a des pretentions qui ne correspondent pas forcement a la realite notamment au niveau prestation salariale. Pour autant c'est un secteur dans lequel on peut evoluer tres rapidement autant au niveau des responsabilites qu'au niveau salarial. Pour ma part j'ai accepte un poste dans lequel j'avais peu de reconnaissance un bas salaire dans une entreprise avec un climat social particulier en premiere experience mais c'est certainement cette premiere experience qui m'a permis d'evoluer et d'etre la ou je suis aujourd'hui.
Sciences et Technologies de l'Eau (STE),2020,Polytech propose trop peu de soutien aux eleves et trop peu de partenariat avec les entreprises pillier du secteur
Genie Biologique et Agroalimentaires (GBA),2019,Erasmus et stages de 4a et 5a importants 
Sciences et Technologies de l'Eau (STE),2019,J'ai eu la chance de finir par trouver une entreprise qui donne sa chance aux jeunes apres avoir beaucoup galere pour trouver. 
Genie Biologique et Agroalimentaires (GBA),2021,Insertion professionnelle simple due au stage de fin d'etudes.
Genie Biologique et Agroalimentaires (GBA),2021,Je trouve qu'il y a eu un tres gros manque de suivi de la part de ma tutrice ecole au cours de mon stage de fin d'etudes. Je lui ai envoye plusieurs mails car j'ai vecu un stage difficile mais je n'ai eu que peu de retours (j'ai du relancer plusieurs fois pour avoir une reponse et au final j'ai du me debrouiller seule). De plus elle n'est jamais venu visiter l'entreprise pour voir si tout se passait bien n'a jamais pris contact avec mon tuteur. Heureusement mon tuteur de stage etait exceptionnel. 
Genie Biologique et Agroalimentaires (GBA),2021,Difficile de trouver du travail dans le domaine cosmeto sans experience car domaine ferme. Mais il ne faut pas desesperer. Je ne m'attendais pas a une telle baisse de morale en recherche de travail. Je pense qu'il est important de prevenir les eleves de ce qui les attendent 
Genie Biologique et Agroalimentaires (GBA),2021,Le reseau Polytech est assez interessant pour l'insertion professionnelle mais il n'est pas assez exploite. Il faudrait pouvoir avoir acces a une base de donnees bien faite (en ligne) des stages deja effectues par les eleves des anciens eleves que l'on peut contacter des offres de stage/emplois proposes etc. Et que les professeurs aident plus les eleves dans leurs recherches.
Genie Biologique et Agroalimentaires (GBA),2021,J'ai eu du mal a trouver du travail par rapport a la zone geographique souhaitee mais la formation semble interesser les entreprises
Genie Biologique et Agroalimentaires (GBA),2021,Leger manque d'explication sur les differentes voies que l'ont peut envisager (salarie professeur freelance etc)
Genie Biologique et Agroalimentaires (GBA),2021,Habitant actuellement a cote de Bordeaux et ne souhaitant pas demenager prochainement j'ai l'impression qu'il est difficile de trouver un poste adapte a ma formation et a mon experience sans devoir demenager dans une autre region. La majorite des offres d'emploi que je vois sont pour des postes d'operateurs. Il y a quelques offres de poste d'ingenieur mais qui demandent une experience minimum de 5 ans. Je ne trouve pas d'entre deux. Les nombreuses candidatures spontanees que j'ai envoye n'ont pas recu de reponses ou des reponses negatives (pas de projet d'embauche ou pas dans mon domaine).
Informatique et Gestion (IG),2021,Je suis satisfait avec mon embauche
Informatique et Gestion (IG),2021,Le milieu de l'informatique nous est favorable et c'est une chance. J'ai le sentiment d'avoir ete suffisant forme pour etre performant dans mon travail mais je regrette de ne pas avoir assez de competences pour me demarquer. Des cours en options seraient une bonne idee a mettre en place afin que chacun puisse se specialiser et aller plus dans un ou des domaines qui lui plaisent.
Informatique et Gestion (IG),2021,Insertion plutot facile mais la technologie sur laquelle je travaille n'est pas celle qui m'interesse le plus. Par peur de ne pas trouvee de stage j'ai accepte la premiere offre. 
Materiaux (MAT),2021,Le contrat de professionnalisation est un tremplin indeniable pour l'insertion professionnelle je conseille a tous les etudiants de le faire si ils ont la chance de trouver une entreprise d'accueil. 
Materiaux (MAT),2021,ca serait tres interessant d'avoir un site polytech rassemblant toutes les offres d'emploi pouvant nous interesser celles qui sont transmises a nos professeurs
Materiaux (MAT),2021,Tous les enseignements sont interessants d'un point de vue intellectuel mais parfois peu valorisable aupres des entreprises. Peut-etre essayer d'apporter plus de competences 'metier' aux etudiants suivant la formation(logiciel visite d'usine) 
Materiaux (MAT),2021,Peu de conseils et de suivi sur le choix du stage. Je regrette egalement le fait que nous n'ayons pas pu avoir de stage a l'etranger a cause de la situation sanitaire. J'ai fait une requete aupres de l'ecole afin d'obtenir une convention de stage supplementaire qui m'aurait permis de realiser un stage en plus (que je n'ai pas pu faire a l'etranger en 4eme annee). Cette requete m'a ete refusee. Elle m'aurait permis d'avoir plus d'experience et peut-etre d'obtenir une porte d'entree dans une autre entreprise... 
Materiaux (MAT),2021,Je travaille a present dans le marketing et mes connaissances scientifiques font la difference. Donc ne vous mettez pas de barriere avec un diplome d'ingenieur vous pouvez vous orienter vers de nombreuses branches.
Materiaux (MAT),2021,Mon insertion professionnelle s'est faite assez rapidement suite a la creation de mon profil sur l'APEC ou de nombreuses boites de consulting m'ont contacte j'ai fini par accepter l'offre d'Abylsen qui me proposait de commencer tres rapidement (2 semaines entre le premier contact et le debut de ma mission) par une mission au sein du laboratoire d'essais R&D de Gerflor a Tarare (69).
Materiaux (MAT),2021,J'aurai voulu entendre parler davantage des boites de conseil au sein de ma formation. 
Materiaux (MAT),2021,Je pense que ce qui fait la force de cette formation c'est la grande variete des domaines etudies qui permet d'acquerir des competences dans de nombreux domaines scientifiques (chimie rheologie mecanique etc)
